slice_file_name,fsID,start,end,road,classID,class
Around Arya School(1°16_32_ S 36°49_29_ E)--1-0.wav,Around Arya School(1°16_32_ S 36°49_29_ E),0,6,Around Arya School(1°16_32_ S 36°49_29_ E),-1,light truck
Around Arya School(1°16_32_ S 36°49_29_ E)--1-1.wav,Around Arya School(1°16_32_ S 36°49_29_ E),6,12,Around Arya School(1°16_32_ S 36°49_29_ E),-1,motorcycle
Around Arya School(1°16_32_ S 36°49_29_ E)--1-2.wav,Around Arya School(1°16_32_ S 36°49_29_ E),12,18,Around Arya School(1°16_32_ S 36°49_29_ E),-1,motorcycle
Around Arya School(1°16_32_ S 36°49_29_ E)--1-3.wav,Around Arya School(1°16_32_ S 36°49_29_ E),18,24,Around Arya School(1°16_32_ S 36°49_29_ E),-1,medium truck
Around Arya School(1°16_32_ S 36°49_29_ E)--1-4.wav,Around Arya School(1°16_32_ S 36°49_29_ E),24,30,Around Arya School(1°16_32_ S 36°49_29_ E),-1,PSV
Around Arya School(1°16_32_ S 36°49_29_ E)--1-5.wav,Around Arya School(1°16_32_ S 36°49_29_ E),30,36,Around Arya School(1°16_32_ S 36°49_29_ E),-1,other
Around Arya School(1°16_32_ S 36°49_29_ E)--1-6.wav,Around Arya School(1°16_32_ S 36°49_29_ E),36,42,Around Arya School(1°16_32_ S 36°49_29_ E),-1,pickup
Around Arya School(1°16_32_ S 36°49_29_ E)--1-7.wav,Around Arya School(1°16_32_ S 36°49_29_ E),42,48,Around Arya School(1°16_32_ S 36°49_29_ E),-1,light truck
Around Arya School(1°16_32_ S 36°49_29_ E)--1-8.wav,Around Arya School(1°16_32_ S 36°49_29_ E),48,54,Around Arya School(1°16_32_ S 36°49_29_ E),-1,light truck
Around Arya School(1°16_32_ S 36°49_29_ E)--1-9.wav,Around Arya School(1°16_32_ S 36°49_29_ E),54,60,Around Arya School(1°16_32_ S 36°49_29_ E),-1,private car
Around Arya School(1°16_32_ S 36°49_29_ E)--1-10.wav,Around Arya School(1°16_32_ S 36°49_29_ E),60,66,Around Arya School(1°16_32_ S 36°49_29_ E),-1,private car
