Filename,Leq_dBA
Around Arya School(1°16_32_ S 36°49_29_ E).wav,74.51
Around Baba Dogo Rd(1°14_51_S 36°52_26_E).wav,77.40
Around Junction Mall(1°17_57_S 36°45_49_E).wav,76.27
Around Langata Hospital (1°19_40_S 36°47_21_E).wav,75.89
Around MMU (1°23_ 04_ 36°46_ 15_ E).wav,74.82
BBS Eastleigh(1°16_47_S 36°50_48_E).wav,78.98
Bee Centre (1°17_01_S 36°54_02_E).wav,75.38
Close to Uhuru Park(1°17_15_S 36°48_55_ E).wav,74.95
Davis&Shirtliff Kangundo Rd(1°15_28_S36°55_14_E).wav,75.02
ICD Road(1°20_6_ S 36°51_38_E).wav,73.71
Imaara Mall (1° 19_ 41_S 36°52_49_E).wav,77.92
Jevanjee Moi Avenue (1° 16_ 51_ S 36°49_ 13_ E).wav,76.02
Jogoo Road(1°17_49_S 36°52_29_E).wav,80.58
Kangemi (1°15_ 52_S 36°44_ 40_E).wav,76.03
Karen C School (1°20_19_S 36°44_27_E).wav,72.94
Kawangware (1°17_09_ S 36°44_21_E).wav,75.45
KCB Utawala Eastern Bypass(1°17_04_S 36°57_25_E).wav,76.86
KFC Embakasi (1°19_05_S 36°55_02_E).wav,77.86
Kiambu Road (1°12_28_ S 36°49_56_E).wav,75.15
Kiambu Road (1°13_45_S 36°50_26_E).wav,74.51
Kinoo (1° 15_ 23_ S 36° 41_ 49_).wav,75.87
Langata Link 1°19_19_S  36°47_01_E.wav,73.64
Likoni Rd (1°17_55_S 36°50_14_E).wav,76.95
Makongeni ShoppingCtr Ruai(1°16_38_S 37°01_43_E).wav,74.62
Ngong Road (1° 18_ 22_S 36° 44_ 24_E).wav,77.46
Northern Bypass (1°11_50_ S 36°53_57_E).wav,74.45
Northern Bypass(1°09_38_S 36°55_19_E).wav,76.28
Nyayo LA Rd (1°18_20_ S 36°49_21_E).wav,75.06
Ola Energy Waiyaki Way(1° 15_ 33_S 36°46_ 47_E).wav,76.80
Opp. KU Hospital (1°10_34_ S 36°54_47_E).wav,76.33
Quality Meat Packers(1°15_10_S 36°57_34_E).wav,74.54
RailaOdinga Rd nxt toTotal (1°18_48_S36°48_45_E).wav,76.06
Ruaka (1°12_01_ S 36°47_05_E).wav,74.95
Runda (1°12_59_S 36°49_34_E).wav,75.63
Southern Bypass (1° 18_ 14_ S 36° 42_ 30_E).wav,76.26
Southern Bypass (1°17_45_ S 36°41_27_E).wav,75.08
Thika Road (1°10_58_S 36°56_13_E).wav,78.04
Thika Road (1°13_28_S 36°53_12_E).wav,78.83
Thika Road Pangani(1°15_55_S 36°50_08_E).wav,76.92
Thome(1°12_36_S 36°52_35_E).wav,74.59
Total Energies Outering (1°16_10_ S 36°52_49_E).wav,76.59
Winners Chapel(Likoni Rd) (1°19_20_S 36°50_55_E).wav,75.81
