location,speed
Around Arya School,37.71
Around Baba Dogo Rd,51.35
Around Junction Mall,43.06
Around Langata Hospital,61.14
Around MMU,39.61
BBS Eastleigh,38.58
Bee Centre,28.29
Close to Uhuru Park,48.19
Davis&Shirtliff Kangundo Rd,29.43
ICD Road,70.00
Imaara Mall,56.50
Jevanjee Moi Avenue,37.11
Jogoo Road,44.00
Kangemi,49.33
Karen C School,33.33
Kawangware,25.00
KCB Utawala Eastern Bypass,70.00
KFC Embakasi,54.92
Kiambu Road (1°12_28_S),50.17
Kiambu Road (1°13_45_S),46.00
Kinoo,75.67
Langata Link,41.65
Likoni Rd,47.72
Makongeni ShoppingCtr Ruai,56.05
Ngong Road,61.36
Northern Bypass (1°11_50_S),76.89
Northern Bypass (1°09_38_S),58.27
Nyayo LA Rd,76.33
Ola Energy Waiyaki Way,63.70
Opp. KU Hospital,25.43
Quality Meat Packers,23.27
RailaOdinga Rd nxt toTotal,56.18
Ruaka,48.86
Runda,34.27
Southern Bypass (1°18_14_S),57.42
Southern Bypass (1°17_45_S),85.41
Thika Road (1°10_58_S),85.21
Thika Road (1°13_28_S),34.67
Thika Road Pangani,58.75
Thome,48.87
Total Energies Outering,55.75
Winners Chapel (Likoni Rd),48.23
