location,speed,location_2
Around Arya School,37.71,KAREN C SCHOOL 1
Around Baba Dogo Rd,51.35,AROUND BABA DOGO ROAD 1
Around Junction Mall,43.06,JUNCTION MALL 1
Around Langata Hospital,61.14,LANGATA HOSPITAL 1
Around MMU,39.61,RUNDA 1
BBS Eastleigh,38.58,EASTLEIGH 1
Bee Centre,28.29,BEE CENTRE OPP. KU HOSPITAL 1
Close to Uhuru Park,48.19,UHURU PARK 1
Davis&Shirtliff Kangundo Rd,29.43,DAVIS & SHIRTLIFF 1
ICD Road,70.0,ICD ROAD 1
Imaara Mall,56.5,IMAARA MALL 1
Jevanjee Moi Avenue,37.11,JEVANJEE 1
Jogoo Road,44.0,JOGOO ROAD 1
Kangemi,49.33,KANGEMI 1
Karen C School,33.33,KAREN C SCHOOL 2
Kawangware,25.0,KAWANGWARE 1
KCB Utawala Eastern Bypass,70.0,EASTERN BYPASS 1
KFC Embakasi,54.92,KFC EMBAKASI 1
Kiambu Road (1°12_28_S),50.17,KIAMBU ROAD 2 1
Kiambu Road (1°13_45_S),46.0,KIAMBU ROAD 2 2
Kinoo,75.67,KINOO 1
Langata Link,41.65,LANGATA LINK ROAD 1
Likoni Rd,47.72,LIKONI ROAD 1
Makongeni ShoppingCtr Ruai,56.05,MAKONGENI SHOPPING CENTRE 1
Ngong Road,61.36,NGONG ROAD 1
Northern Bypass (1°11_50_S),76.89,NORTHERN BYPASS 2 1
Northern Bypass (1°09_38_S),58.27,NORTHERN BYPASS 2 2
Nyayo LA Rd,76.33,NYAYO LANGATA 1
Ola Energy Waiyaki Way,63.7,OLA ENERGY WAIYAKI WAY 1
Opp. KU Hospital,25.43,BEE CENTRE OPP. KU HOSPITAL 2
Quality Meat Packers,23.27,QUALITY MEAT PACKERS 1
RailaOdinga Rd nxt toTotal,56.18,RAILA ODINGA ROAD 1
Ruaka,48.86,RUAKA 1
Runda,34.27,RUNDA 2
Southern Bypass (1°18_14_S),57.42,SOUTHERN BYPASS 1 1
Southern Bypass (1°17_45_S),85.41,SOUTHERN BYPASS 1 2
Thika Road (1°10_58_S),85.21,THIKA ROAD 1
Thika Road (1°13_28_S),34.67,THIKA ROAD 2
Thika Road Pangani,58.75,THIKA ROAD(PANGANI) 1
Thome,48.87,THOME 1
Total Energies Outering,55.75,TOTAL ENERGIES OUTERING 1
Winners Chapel (Likoni Rd),48.23,WINNERS CHAPEL(LIKONI ROAD) 1
