slice_file_name,fsID,start,end,road,classID,class
Around Arya School(1°16_32_ S 36°49_29_ E)--1-0.wav,Around Arya School(1°16_32_ S 36°49_29_ E),0.0,6.0,Around Arya School(1°16_32_ S 36°49_29_ E),-1,Others
Around Arya School(1°16_32_ S 36°49_29_ E)--1-1.wav,Around Arya School(1°16_32_ S 36°49_29_ E),6.0,12.0,Around Arya School(1°16_32_ S 36°49_29_ E),-1,Others
Around Arya School(1°16_32_ S 36°49_29_ E)--1-2.wav,Around Arya School(1°16_32_ S 36°49_29_ E),12.0,18.0,Around Arya School(1°16_32_ S 36°49_29_ E),-1,Others
Around Arya School(1°16_32_ S 36°49_29_ E)--1-3.wav,Around Arya School(1°16_32_ S 36°49_29_ E),18.0,24.0,Around Arya School(1°16_32_ S 36°49_29_ E),-1,Others
Around Arya School(1°16_32_ S 36°49_29_ E)--1-4.wav,Around Arya School(1°16_32_ S 36°49_29_ E),24.0,30.0,Around Arya School(1°16_32_ S 36°49_29_ E),-1,Others
Around Arya School(1°16_32_ S 36°49_29_ E)--1-5.wav,Around Arya School(1°16_32_ S 36°49_29_ E),30.0,36.0,Around Arya School(1°16_32_ S 36°49_29_ E),-1,Others
Around Arya School(1°16_32_ S 36°49_29_ E)--1-6.wav,Around Arya School(1°16_32_ S 36°49_29_ E),36.0,42.0,Around Arya School(1°16_32_ S 36°49_29_ E),-1,Others
Around Arya School(1°16_32_ S 36°49_29_ E)--1-7.wav,Around Arya School(1°16_32_ S 36°49_29_ E),42.0,48.0,Around Arya School(1°16_32_ S 36°49_29_ E),-1,Others
Around Arya School(1°16_32_ S 36°49_29_ E)--1-8.wav,Around Arya School(1°16_32_ S 36°49_29_ E),48.0,54.0,Around Arya School(1°16_32_ S 36°49_29_ E),-1,Others
Around Arya School(1°16_32_ S 36°49_29_ E)--1-9.wav,Around Arya School(1°16_32_ S 36°49_29_ E),54.0,60.0,Around Arya School(1°16_32_ S 36°49_29_ E),-1,Others
Around Arya School(1°16_32_ S 36°49_29_ E)--1-10.wav,Around Arya School(1°16_32_ S 36°49_29_ E),60.0,66.0,Around Arya School(1°16_32_ S 36°49_29_ E),-1,Others
Around Arya School(1°16_32_ S 36°49_29_ E)--1-11.wav,Around Arya School(1°16_32_ S 36°49_29_ E),66.0,72.0,Around Arya School(1°16_32_ S 36°49_29_ E),-1,Others
Around Arya School(1°16_32_ S 36°49_29_ E)--1-12.wav,Around Arya School(1°16_32_ S 36°49_29_ E),72.0,78.0,Around Arya School(1°16_32_ S 36°49_29_ E),-1,Others
Around Arya School(1°16_32_ S 36°49_29_ E)--1-13.wav,Around Arya School(1°16_32_ S 36°49_29_ E),78.0,84.0,Around Arya School(1°16_32_ S 36°49_29_ E),-1,Others
Around Arya School(1°16_32_ S 36°49_29_ E)--1-14.wav,Around Arya School(1°16_32_ S 36°49_29_ E),84.0,90.0,Around Arya School(1°16_32_ S 36°49_29_ E),-1,Others
Around Arya School(1°16_32_ S 36°49_29_ E)--1-15.wav,Around Arya School(1°16_32_ S 36°49_29_ E),90.0,96.0,Around Arya School(1°16_32_ S 36°49_29_ E),-1,Others
Around Arya School(1°16_32_ S 36°49_29_ E)--1-16.wav,Around Arya School(1°16_32_ S 36°49_29_ E),96.0,102.0,Around Arya School(1°16_32_ S 36°49_29_ E),-1,Others
Around Arya School(1°16_32_ S 36°49_29_ E)--1-17.wav,Around Arya School(1°16_32_ S 36°49_29_ E),102.0,108.0,Around Arya School(1°16_32_ S 36°49_29_ E),-1,Others
Around Arya School(1°16_32_ S 36°49_29_ E)--1-18.wav,Around Arya School(1°16_32_ S 36°49_29_ E),108.0,114.0,Around Arya School(1°16_32_ S 36°49_29_ E),-1,Others
Around Arya School(1°16_32_ S 36°49_29_ E)--1-19.wav,Around Arya School(1°16_32_ S 36°49_29_ E),114.0,120.0,Around Arya School(1°16_32_ S 36°49_29_ E),-1,Others
Around Arya School(1°16_32_ S 36°49_29_ E)--1-20.wav,Around Arya School(1°16_32_ S 36°49_29_ E),120.0,126.0,Around Arya School(1°16_32_ S 36°49_29_ E),-1,Others
Around Arya School(1°16_32_ S 36°49_29_ E)--1-21.wav,Around Arya School(1°16_32_ S 36°49_29_ E),126.0,132.0,Around Arya School(1°16_32_ S 36°49_29_ E),-1,Others
Around Arya School(1°16_32_ S 36°49_29_ E)--1-22.wav,Around Arya School(1°16_32_ S 36°49_29_ E),132.0,138.0,Around Arya School(1°16_32_ S 36°49_29_ E),-1,Others
Around Arya School(1°16_32_ S 36°49_29_ E)--1-23.wav,Around Arya School(1°16_32_ S 36°49_29_ E),138.0,144.0,Around Arya School(1°16_32_ S 36°49_29_ E),-1,Others
Around Arya School(1°16_32_ S 36°49_29_ E)--1-24.wav,Around Arya School(1°16_32_ S 36°49_29_ E),144.0,150.0,Around Arya School(1°16_32_ S 36°49_29_ E),-1,Others
Around Arya School(1°16_32_ S 36°49_29_ E)--1-25.wav,Around Arya School(1°16_32_ S 36°49_29_ E),150.0,156.0,Around Arya School(1°16_32_ S 36°49_29_ E),-1,Others
Around Arya School(1°16_32_ S 36°49_29_ E)--1-26.wav,Around Arya School(1°16_32_ S 36°49_29_ E),156.0,162.0,Around Arya School(1°16_32_ S 36°49_29_ E),-1,Others
Around Arya School(1°16_32_ S 36°49_29_ E)--1-27.wav,Around Arya School(1°16_32_ S 36°49_29_ E),162.0,168.0,Around Arya School(1°16_32_ S 36°49_29_ E),-1,Others
Around Arya School(1°16_32_ S 36°49_29_ E)--1-28.wav,Around Arya School(1°16_32_ S 36°49_29_ E),168.0,174.0,Around Arya School(1°16_32_ S 36°49_29_ E),-1,Others
Around Arya School(1°16_32_ S 36°49_29_ E)--1-29.wav,Around Arya School(1°16_32_ S 36°49_29_ E),174.0,180.0,Around Arya School(1°16_32_ S 36°49_29_ E),-1,Others
Around Arya School(1°16_32_ S 36°49_29_ E)--1-30.wav,Around Arya School(1°16_32_ S 36°49_29_ E),180.0,186.0,Around Arya School(1°16_32_ S 36°49_29_ E),-1,Others
Around Arya School(1°16_32_ S 36°49_29_ E)--1-31.wav,Around Arya School(1°16_32_ S 36°49_29_ E),186.0,192.0,Around Arya School(1°16_32_ S 36°49_29_ E),-1,Others
Around Arya School(1°16_32_ S 36°49_29_ E)--1-32.wav,Around Arya School(1°16_32_ S 36°49_29_ E),192.0,198.0,Around Arya School(1°16_32_ S 36°49_29_ E),-1,Others
Around Arya School(1°16_32_ S 36°49_29_ E)--1-33.wav,Around Arya School(1°16_32_ S 36°49_29_ E),198.0,204.0,Around Arya School(1°16_32_ S 36°49_29_ E),-1,Others
Around Arya School(1°16_32_ S 36°49_29_ E)--1-34.wav,Around Arya School(1°16_32_ S 36°49_29_ E),204.0,210.0,Around Arya School(1°16_32_ S 36°49_29_ E),-1,Others
Around Arya School(1°16_32_ S 36°49_29_ E)--1-35.wav,Around Arya School(1°16_32_ S 36°49_29_ E),210.0,216.0,Around Arya School(1°16_32_ S 36°49_29_ E),-1,Others
Around Arya School(1°16_32_ S 36°49_29_ E)--1-36.wav,Around Arya School(1°16_32_ S 36°49_29_ E),216.0,222.0,Around Arya School(1°16_32_ S 36°49_29_ E),-1,Others
Around Arya School(1°16_32_ S 36°49_29_ E)--1-37.wav,Around Arya School(1°16_32_ S 36°49_29_ E),222.0,228.0,Around Arya School(1°16_32_ S 36°49_29_ E),-1,Others
